""
Home |  Exit
Home |  Exit
"
						                        
						","
                    
", 
 , ,"



Zone


IP



","
Zone
","
IP
"
"
Zone
","
IP
"
Vacant Properties Summary IP Wise
zone,IP Name,No. of Plots,No. of Sheds,Area(Sqm),Land Rate in Rupees per	Sqm,Remarks,Purpose of Industrial	Park
ANANTAPURAMU,IP-Thimmasamudram,1,0,4142630,0,Price yet to be fixed,ORS GENERAL
ANANTAPURAMU,IP_GOOTY,2,0,1248,479,Valid from:01-07-2020 to	30-09-2020,LEASE
ANANTAPURAMU,IP_SAJJALADINNE,1,0,11292,0,Price yet to be fixed,LEASE
CHITTOOR,FPIP KUPPAM,1,0,12226,1309,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,"IIDC,NAGARI",1,0,13397,540,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,IP AND AN_PILER,574,0,365062,1730,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,IP CHITTOOR,23,0,3354,3528,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,IP GD NELLORE,19,0,22755,1087,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,"IP, POGURUPALLE",1,0,186446,160,Valid from:20-03-2020 to	31-03-2021,ORS GENERAL
CHITTOOR,"IP,GANDRAJUPALLE ( UDL II )",1,0,5181,529,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,IP_MURUKAMBATTU (UDL),1,0,33064,2348,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,"MSME, GANDRAJUPALLE",114,0,41597,894,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,"MSME, PILER",213,0,70479,893,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,"MSME,Molakaladinne",6,0,2180,1467,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,UDL_Kukkalapalli,1,0,12749,421,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
CHITTOOR,UDL_Thenebanda,1,0,102268,989,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
GUNTUR,IP_NADIKUDI PH I,1,0,425,1200,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
HINDUPUR,APIIC_HINDUPUR_GC,1,0,6840,1663,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
HINDUPUR,Erramanchi-UDL_KIA_AdjcentSite,3,0,301422,445,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
HINDUPUR,Gollapuram_UDL,1,0,12263,0,Price yet to be fixed,ORS GENERAL
HINDUPUR,IP GUDIPALLI,89,0,956289,1661,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
HINDUPUR,IP-Madakasira,1,0,1689946,72,Valid from:08-11-2019 to	19-03-2020,ORS GENERAL
HINDUPUR,IP-RAPTHADU,1,0,12668,0,Price yet to be fixed,ORS GENERAL
HINDUPUR,IP-Settipalli,1,0,124729,324,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
